no,Tgl_Iklan,url,Harga_juta,Kota_Provinsi,Luas_Tanah,Luas_Bangunan,KT,KM,KTP,KMP,Carport,Garasi,Listrik,Surat,Judul,Deskripsi
11,08/03/2021,https://www.dotproperty.id/rumah-dijual-dengan-6-kamar-tidur-di-rijali-maluku_4972079?utm_source=Trovit&utm_medium=CPC&utm_campaign=premium,12000,"Ambon, Maluku",428,,6,2,0,0,1,0,,,rumah strategis depan jalan raya utama kota ambon dan berhadapan dengan gedung DPRD,"Rumah dijual dengan 6 kamar tidur di Rijali, Maluku.Rumah Dijual, yang terdiri dari 6 kamar tidur dan 2 kamar mandi berlokasi di Rijali, Ambon.Fasilitasi meliputi: Parkir."
12,08/03/2021,https://www.realoka.com/90543-jual-rumah-murah-cepat-nego,350,"Ambon, Maluku",1100,900,3,1,0,0,0,0,,SHM,Jual Rumah Murah Cepat Nego,"Jual cepat rumah daerah stategis! Terletak di pandan kasturi (belakang kantor brimob besar) , Dekat jalan raya, di kelilingi mall, hotel, perkantoran, sekolah, akses kendaraan umum mudah. Untuk info lebih lanjut silahkan hub ibu meity : 081344969734/085243254825 (tanpa perantara)

Hanya untuk pembeli yg serius!! Thx realoka"
13,07/03/2021,https://www.olx.co.id/item/jual-bangunan-dan-tanah-depan-pintu-masuk-rektorat-kampus-pattimura-iid-758224304,3500,"Ambon, Maluku",387,85,10,4,0,0,0,0,,SHM,Jual bangunan dan tanah Depan pintu masuk rektorat kampus Pattimura,"Luas tanah 387 m2. Bangunan 85 m2. Sertifikat SHM. Ahli waris aman...Posisi rumah di Eks Pemda 1 Poka. 10 meter dari jalan raya depan Kampus Unipatty.1 toko (2 kamar+ 1wc), rumah induk (8 kamar, 3 kamar mandi) saat ini dijadikan kos kosan, kualitas Air bagus, posisi depan kampus universitas patimura ( rektorat), dekat RSUP dan RS.siloam, dekat mall MCM dan jembatan merah putih, ke bandara hanya 20 menit, pusat kota 5 menit. Direkomendasikan untuk investasi, rumah kos, penginapan backpaker, atau untuk kantor organisasi masyarakat dan partai. Dijual tanpa perantara dari tangan pertama. Untuk survei lokasi bisa dengan perjanjian terlebih dahulu"
14,07/03/2021,https://www.olx.co.id/item/rumah-di-jual-tanpa-perantara-iid-821438681,12000,"Ambon, Maluku",500,250,5,4,1,1,1,5,4400,SHM,Rumah di jual tanpa perantara,"Rumah dijual Cepat tanpa Perantara, lokasi dekat Kantor Pemerintahan. Sertifikat SHM. Cocok untuk bisnis, kantor, Hotel karena daratan tinggi-view ke laut. atau untuk rumah keluarga Besar. LT : 500 M, LB : 255 M. Ruangan Terdiri dari = K.Tidur : 5, K.Mandi Kamar : 2, K.Mandi Luar : 3 .Ruang Kerja 1 + Ruang Meeting 1Ruang Kemanan (security) : 1 + Kamar Mandi. (samping Garasi) Ruang Terbuka : Ruang Tamu 1, Ruang Keluarga1 Ruang Karaoke Taman. Taman Depan ; Parkiran Muat 6 Mobil. Kebun , Kolam Ikan. Taman Samping Kiri : Ruang Terbuka Cuci baju dan Jemuran. Taman Samping Kanan : Tower Baja + Toren Air 2200 L. Taman Belakang : Ruangan Genset + Mesin Genset 4400 watt. Komposisi Rumah Akses masuk Rumah Aspal Hot mix. Bangunan beton, Lantai Marmer, Atap baja ringan. PBB terakhir 2021 (aman). Air PDAM, Listrik Token 4400 watt. Semi Furnished : Ac 4, bed set 5, Wastafel, Bath tube, Kitchen set, Lampu gantung, dan peraltan lainnya. Akses Jalan Depan Kantor BNI. Dekat Gedung DPRD tingkat 1.Dekat rumah DINAS Walikota Ambon & Rumah Dinas WaGub Maluku & Dekat Kantor DPD GOLKAR & Rumah Dinas Ketua Kejati Ambon.Dekat Balai Pertemuan Pemerintahan (GD Siwa 5). Dekat SMK Negri 1 Ambon. Samping Jalan Perumahan Bank Indonesia, 2 km dari Kota Ambon.
Sport Hall ( lapangan Bola, Lapangan Tenis)."
15,07/03/2021,https://rumah.trovit.co.id/listing/dijual-murah-rumah-hunian-lokasi-stategis.MtF14G1J1-1c,280,"Ternate, Maluku Utara",902,902,2,1,0,0,1,0,,SHM,Dijual Murah Rumah Hunian Lokasi Stategis,"Di jual rumah strategis,dekat dengan pusat kota,harga nego..soal nya lagi BU..bagi yang serius bisa chat via wa ke 085729847390"
16,06/03/2021,https://www.olx.co.id/item/jual-rumah-di-kota-ambon-iid-806704486,470,"Ambon, Maluku",81,80,2,2,0,0,1,0,1300,SHM,Jual Rumah di Kota Ambon,"Dijual rumah tinggal siap huni. Bagi yang berminat sila hubungi nomor yang tertera dalam gambar. Keterangan: Rumah BTN Wayame. Jl. Gunung Nona, Blok III Baru, No. 98. 2 kamar tidur. 2 kamar mandi. Ruang tamu, ruang keluarga, ruang cuci. Ruang makan dan dapur. +/- 15 menit dari Bandara Pattimura. +/- 10 menit ke Jembatan Merah Putih. +/- 100 meter dari SD/TK. +/- 500 meter ke Masjid jg Gereja. +/- 100 meter ke Pasar Wayame Fasilitas rumah: # Penampungan Air 1200 lt.# Listrik 1300 V# PDAM, dua kali ngalir sehari# 1 lemari 3 pintu # 1 AC Samsung # 1 Spring bed. # 1 Set kursi tamu # 1 Meja kerja # Pagar keliling # Sertifikat SHM Hubungi : 081245772601. 081224397896"
17,04/03/2021,https://www.rumah123.com/properti/ternate/hos7997446/,5000,"Ternate, Maluku Utara",214,100,5,4,0,0,4,0,2200,SHM,rumah dan 2 ruko | #0058,"Kode Iklan #0058 RUMAH 2 lantai plus 2 ruko depan jalan raya utama dan depan hotel berbintang 5 untuk info lebih lanjut, hubungi 085268951009 Kode Iklan #0058"
18,03/03/2021,https://rumah.trovit.co.id/listing/rumah-dijual-ternate-maluku-utara.1V141taC1o10I,400,"Ternate, Maluku Utara",89,60,2,2,0,0,1,0,,,Rumah dijual: - ternate (maluku utara),"di jual rmh 2 kmr tidur connecting, 1 kmr mndi dlm, 1 kmr mndi luar, dapur luas, luas tanah 89m 2 , bangunan 60m 2 , sertifikat atas nama pribadi, masuk mobil, ada halaman dan tmpt parkir mobil, di dlm kompleks dan security 24 jam, include semi furnish (1springbed, 1 water heater, 1 ac, kulkas 2 pintu, lemari 2 pintu, meja dan kursi, peralatan dapur, tv lcd)
harga 400jt nego tipis"
19,02/03/2021,https://www.dotproperty.id/rumah-dijual-dengan-2-kamar-tidur-di-maluku_5494791?utm_source=Trovit&utm_medium=CPC&utm_campaign=premium,2250,Maluku,99,99,2,2,0,0,0,0,,SHM,"CEPAT !! RUMAH SIAP HUNI di Sunter Agung ,Jln 2Mbl ,NEGO","Rumah dijual dengan 2 kamar tidur di Maluku
Dijual cepat !! Rumah siap huni di Sunter Agung , kondisi rumah sangat OK dan rapi ,jalanan depan rumah muat 2 mobil , harga bisa nego dan bisa dibantu KPR sampai goal

- Ukuran Lt. 9x11m2

- Hadap Utara

- Sertifikat Hak Milik"
20,02/03/2021,https://rumah.trovit.co.id/listing/crystal-town-house-termewah.j1Eh1hO1i1l18,799,Maluku,962,962,3,2,0,0,0,0,,,Crystal Town House Termewah,"Rumah 2 lantai yang berada dikawasan bisnis dan pemerintahan mudah di akses bebas banjir dan free BBN, BPHTB, AJB dan biaya surat-surat lainnya. Fasilitas yang bisa dinikmati antara lain clubhouse, jogging track, foodcity, musholla dll"
